0,1
"Bahamas, The",The Bahamas
Other small states,Small states
"Congo, Dem. Rep.","Congo, Rep."
Cote d'Ivoire,Côte d’Ivoire
"Germany, East","Germany, West"
Hong Kong,"Hong Kong SAR, China"
"Korea, Dem. People’s Rep.","Korea, Rep."
Saint Lucia,St. Lucia
Saint Kitts and Nevis,St. Kitts and Nevis
Saint Lucia,St. Lucia
Saint Vincent/Grenadines,St. Vincent and the Grenadines
Slovak Republic,Slovakia
South Sudan,Sudan
U.S. Virgin Islands,Virgin Islands (U.S.)
Venezuela,"Venezuela, RB"
Yemen,"Yemen, Rep."
